# label  x  y
36    0.62500   -0.20000
38    0.62500   -0.00000
40    0.62500    0.20000
106    1.87500   -0.20000
108    1.87500   -0.00000
110    1.87500    0.20000
176    3.12500   -0.20000
178    3.12500   -0.00000
180    3.12500    0.20000
246    4.37500   -0.20000
248    4.37500   -0.00000
250    4.37500    0.20000
316    5.62500   -0.20000
318    5.62500   -0.00000
320    5.62500    0.20000
386    6.87500   -0.20000
388    6.87500   -0.00000
390    6.87500    0.20000
456    8.12500   -0.20000
458    8.12500   -0.00000
460    8.12500    0.20000
526    9.37500   -0.20000
528    9.37500   -0.00000
530    9.37500    0.20000
596   10.62500   -0.20000
598   10.62500   -0.00000
600   10.62500    0.20000
666   11.87500   -0.20000
668   11.87500   -0.00000
670   11.87500    0.20000
736   13.12500   -0.20000
738   13.12500   -0.00000
740   13.12500    0.20000
806   14.37500   -0.20000
808   14.37500   -0.00000
810   14.37500    0.20000
876   15.62500   -0.20000
878   15.62500   -0.00000
880   15.62500    0.20000
946   16.87500   -0.20000
948   16.87500   -0.00000
950   16.87500    0.20000
1016   18.12500   -0.20000
1018   18.12500   -0.00000
1020   18.12500    0.20000
1086   19.37500   -0.20000
1088   19.37500   -0.00000
1090   19.37500    0.20000
1156   20.62500   -0.20000
1158   20.62500   -0.00000
1160   20.62500    0.20000
1226   21.87500   -0.20000
1228   21.87500   -0.00000
1230   21.87500    0.20000
1296   23.12500   -0.20000
1298   23.12500   -0.00000
1300   23.12500    0.20000
1366   24.37500   -0.20000
1368   24.37500   -0.00000
1370   24.37500    0.20000
